Time,Ticker,latestPrice,latestVolume,Close,Open,low,high
13:28,BCOW,9.73,1151,9.73,9.74,9.7,9.73
13:28,FCCY,17.85,2730,17.6,17.75,17.702,18.2
13:28,SRCE,44.75,11095,44.58,44.5,44.35,45.29
13:28,VNET,7.7,111049,7.91,7.93,7.68,8.01
13:28,TWOU,71.425,372344,68.13,68.23,68.05,71.859
13:28,QFIN,15.1,10758,15.565,15.04,14.99,15.432
13:28,TPNL,7.75,159103,7.93,7.94,7.63,7.965
13:28,JOBS,74.8,147416,73.68,73.58,73.33,74.9
13:28,EGHT,20.185,254611,20.14,20.17,19.95,20.42
13:28,AAON,45.16,69012,44.93,45,44.46,45.32
13:28,ABEO,7.32,106595,7.17,7.18,7.01,7.34
13:28,ABEOW,3.07,1700,3.07,2.84,2.653,3.07
13:28,ABIL,1.73,61151,1.68,1.68,1.665,1.75
13:28,ABMD,284.405,545677,276.39,277.75,275,286.9
13:28,AXAS,1.26,427000,1.33,1.31,1.26,1.34
13:28,ACIU,4.99,84698,5.02,5.02,4.97,5.09
13:28,ACIA,58.015,1284590,55.35,56.59,56.03,59.55
13:28,ACTG,3.25,31185,3.2,3.2,3.21,3.26
13:28,ACHC,29.255,292182,29.2,29.16,28.95,29.42
13:28,ACAD,26.8,299656,26.24,26.27,26.27,26.84
13:28,ACAMU,10,3500,10,10,10,10
13:28,ACST,1.013,219224,1.02,1.01,1,1.05
13:28,AXDX,21.435,95190,20.69,20.75,20.566,21.615
13:28,XLRN,44.715,83601,44.02,44.11,43.95,45.179
13:28,ARAY,4.62,267145,4.67,4.69,4.57,4.76
13:28,ACRX,3.315,758197,3.24,3.25,3.2,3.35
13:28,ACER,23.71,13505,23.89,23.89,23.54,23.97
13:28,ACET,0.1837,2430303,0.1629,0.1557,0.15,0.195
13:28,AKAO,0.472,887097,0.4713,0.48,0.4518,0.488
13:28,ACHV,3.357,205806,3.15,3.14,3.09,3.43
13:28,ACHN,2.955,313185,2.91,2.91,2.9,2.99
